A Nail;oof ouch owee
American Cheese;O'er the land of the cheese and the home of the brave.
Anchovy Paste;I'm better than both Vegemite or Marmite.
Arugula;Why, just why?
Avocado;It's hip 'vocado. And $9 a cut.
Bacon;You can't spell 'happiness' without 'bacon'. well, you can. you'd just be miserable spelling it.
Baloney;It's nonsense. 
Bananas;Request them without pajamas, for a bananaier taste.
Barbacoa;Far South BBQ 
Bell Peppers;1776 substituted with peppers instead of liberty.
Blue Cheese;Ordinary, crumbly cheese if you're colorblind.
Bread;Flour, Water, Salt, Yeast
Bun;Don't think outside it. Think it.
Butter;You best believe this is butter.
Capicola;Try is spicy!
Caramelized Onions;Nearly burnt is the best bestest.
Carrot;Human noses. If humans were snow-people.
Celery;Add some crunch to your lunch!
Cheddar Cheese;A mild-mannered cheese dyed a less intimidating color.
Cheese;who cares what kind just eat it already
Cheezewhiz;The classiest way to enjoy cheese.
Cherries;Used in bombs and pies, but a sweet addition to any sundae or sandwich.
Chicken Liver;It's better than the Chicken Die-r.
Chicken;A non-confrontational bird.
Chickpeas;DO not eat while dry.
Chocolate Bread With Holes;The holes are where the flavor is!
Ciabatta Roll;Just as much to say as it is to eat.
Cilantro;Great in salsa, bomb in sandwiches.
Corned Beef;Cows after a Korn festival, pairs well with cabbage
Cranberry Sauce;Cranberry jelly is so fancy its considered a sauce
Cream Cheese;What's that in the sky? It's a cheese? It's a cream? It's a cream cheese!
Cucumber;Old pickles, if they aged like Benjamin Button.
Daikon;Winter radishes is coming.
Daniel Angerer's Human Milk Cheese;Please don't put this on your sandwich. It tastes best by itself!
Dill Pickles;If cucumbers were witches.
Dirt;Rare, hard to find ..dirt. Found in most sandwiches in very small portions.
Dough;More dough, more problems.
Dry Turkey;Like wet turkey, only dry.
Egg;There's fried egg, boiled egg, sliced egg, Easter Egg, baked egg, salted egg, raw egg, egg burger, salsa'd egg, egg sandwich, egg salad, salad egg, egg fried rice, chicken egg, .... That-that's about it.
Goat Cheese;Creamy delish on a cracker.
Green Sauce;You get it right?
Haggis;What? It's basically a less processed HawtDog. All Organic!
Ham;Ham. Yup.
Hamburger Bun;The ideal bun for a hamburger.
Hamburger;The ideal hamburger for a hamburger bun.
Havarti Cheese;A smooth, creamy, supple-in-texture cheese. Can't have a party without havarti.
HawtDwag;Ya know like that cute costume
Hoagie Bun;During the day, a columnist. At night, a hero roll.
