Banh Mi;Hell yes
BLT;Classic
Cheeseburger;Watch out for the burglar
Cheesesteak;Chop up
CherryPie;Damn fine
Chicken Salad;Chicken of the land
Chopped Liver;Who am I?
Croque-monsieur;Damn fine
Cubano;All kinds of pork
Doner kebab;Veal or Beef??
Egg Salad;You're either with it or against it
Falafel;Chickpeas or Garbanzos?
Georgia Reuben;Turkey and slaw baby
Grilled Cheese;Mayo or Butter???
Gyro;GYYY-ROOOE
Ham and Swiss;Some words
Hot Dog;Don't put ketchup on a hot dog
Meatball Sub;You should eat this with a fork
Muffuletta;Yum olives
Pastie;Hand eating at its finest
PB&J;That's it
Pizza;Fold it
Pulled Pork;This is making me hungry
Reuben;Who cares
Roast Beef;Gotta be with horsey sauce
Seitan;666
Spaghetti and Meatballs;Somehow this is a sandwich
Sub;A bunch of things
Taco;Maybe the best of all sandwiches
Torta;yum
Tuna Salad;Chicken of the sea
Wood;Some dirt between two 2 x 4s
